evaluator_id,algorithm,metric,value,n_observations
6,subtitles,novelty_score,2.0,5
6,tmdb,relevance,2.4,5
6,tmdb,preference_score,2.4,5
6,tmdb,novelty_score,2.0,5
6,weighted_hybrid,relevance,3.6,5
6,weighted_hybrid,preference_score,3.6,5
6,weighted_hybrid,novelty_score,1.2,5
7,castoverlap,relevance,3.2,5
7,castoverlap,preference_score,2.8,5
7,castoverlap,novelty_score,1.6,5
7,genome_overlap,relevance,4.2,5
7,genome_overlap,preference_score,4.4,5
7,genome_overlap,novelty_score,1.0,5
7,image_similarity,relevance,4.2,5
7,image_similarity,preference_score,4.0,5
7,image_similarity,novelty_score,0.4,5
7,image_text_similarity,relevance,4.8,5
7,image_text_similarity,preference_score,4.8,5
7,image_text_similarity,novelty_score,0.0,5
7,knn,relevance,4.0,5
7,knn,preference_score,4.2,5
7,knn,novelty_score,0.8,5
7,subtitles,relevance,4.4,5
7,subtitles,preference_score,4.0,5
7,subtitles,novelty_score,0.8,5
7,tmdb,relevance,3.0,5
7,tmdb,preference_score,3.0,5
7,tmdb,novelty_score,1.6,5
7,weighted_hybrid,relevance,4.8,5
7,weighted_hybrid,preference_score,4.8,5
7,weighted_hybrid,novelty_score,0.4,5
8,castoverlap,relevance,4.2,5
8,castoverlap,preference_score,3.4,5
8,castoverlap,novelty_score,1.4,5
8,genome_overlap,relevance,3.6,5
8,genome_overlap,preference_score,4.2,5
8,genome_overlap,novelty_score,0.6,5
8,image_similarity,relevance,3.8,5
8,image_similarity,preference_score,3.2,5
8,image_similarity,novelty_score,1.2,5
8,image_text_similarity,relevance,3.6,5
8,image_text_similarity,preference_score,3.8,5
8,image_text_similarity,novelty_score,0.8,5
8,knn,relevance,3.4,5
8,knn,preference_score,4.4,5
8,knn,novelty_score,0.4,5
8,subtitles,relevance,3.4,5
8,subtitles,preference_score,3.0,5
8,subtitles,novelty_score,2.0,5
8,tmdb,relevance,3.4,5
8,tmdb,preference_score,3.2,5
8,tmdb,novelty_score,1.2,5
8,weighted_hybrid,relevance,3.6,5
8,weighted_hybrid,preference_score,3.6,5
8,weighted_hybrid,novelty_score,1.2,5
9,castoverlap,relevance,3.2,5
9,castoverlap,preference_score,2.4,5
9,castoverlap,novelty_score,2.0,5
9,genome_overlap,relevance,3.8,5
9,genome_overlap,preference_score,3.0,5
9,genome_overlap,novelty_score,1.4,5
9,image_similarity,relevance,3.6,5
9,image_similarity,preference_score,2.8,5
9,image_similarity,novelty_score,1.8,5
9,image_text_similarity,relevance,3.2,5
9,image_text_similarity,preference_score,2.6,5
9,image_text_similarity,novelty_score,1.8,5
9,knn,relevance,3.6,5
9,knn,preference_score,4.0,5
9,knn,novelty_score,1.0,5
9,subtitles,relevance,2.4,5
9,subtitles,preference_score,2.6,5
9,subtitles,novelty_score,1.2,5
9,tmdb,relevance,2.6,5
9,tmdb,preference_score,2.8,5
9,tmdb,novelty_score,1.8,5
9,weighted_hybrid,relevance,3.4,5
9,weighted_hybrid,preference_score,2.8,5
9,weighted_hybrid,novelty_score,1.8,5
